#group,false,false,true,true,false,true,true,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,long,double,double
#default,_result,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,asset_id,ambient_temperature_c,power_draw_kw,return_temperature_c,sequence,setpoint_c,supply_temperature_c
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:46:02.38Z,telemetry,boiler_01,12,5,55,120,65,65
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:46:32.379Z,telemetry,boiler_01,12,5,55,121,65,65
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:47:02.38Z,telemetry,boiler_01,12,5,55,122,65,65
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:47:32.379Z,telemetry,boiler_01,12,5,55,123,65,65
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:48:02.381Z,telemetry,boiler_01,12,5,55,124,65,65
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:48:32.38Z,telemetry,boiler_01,12,5,55,125,65,65
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:49:02.379Z,telemetry,boiler_01,12,5,55,126,65,65
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:49:32.379Z,telemetry,boiler_01,12,5,55,127,65,65
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:50:02.379Z,telemetry,boiler_01,12,0,54.85,128,65,64.85
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:50:32.379Z,telemetry,boiler_01,12,0,52.66,129,65,62.66
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:51:02.38Z,telemetry,boiler_01,12,0,50.58,130,65,60.58
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:51:32.379Z,telemetry,boiler_01,12,0,48.6,131,65,58.6
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:52:02.379Z,telemetry,boiler_01,12,0,46.72,132,65,56.72
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:52:32.379Z,telemetry,boiler_01,12,0,44.93,133,65,54.93
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:53:02.379Z,telemetry,boiler_01,12,0,43.23,134,65,53.23
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:53:32.379Z,telemetry,boiler_01,12,0,41.61,135,65,51.61
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:54:02.379Z,telemetry,boiler_01,12,0,40.06,136,65,50.06
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:54:32.379Z,telemetry,boiler_01,12,0,38.6,137,65,48.6
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:55:02.379Z,telemetry,boiler_01,12,0,37.2,138,65,47.2
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:55:32.379Z,telemetry,boiler_01,12,0,35.88,139,65,45.88
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:56:02.38Z,telemetry,boiler_01,12,0,34.61,140,65,44.61
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:56:32.379Z,telemetry,boiler_01,12,0,33.41,141,65,43.41
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:57:02.379Z,telemetry,boiler_01,12,0,32.27,142,65,42.27
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:57:32.379Z,telemetry,boiler_01,12,0,31.19,143,65,41.19
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:58:02.379Z,telemetry,boiler_01,12,0,30.15,144,65,40.15
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:58:32.379Z,telemetry,boiler_01,12,0,29.17,145,65,39.17
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:59:02.379Z,telemetry,boiler_01,12,0,28.23,146,65,38.23
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T12:59:32.38Z,telemetry,boiler_01,12,0,27.35,147,65,37.35
,,0,2026-09-13T12:46:02.379Z,2026-09-14T12:46:02.379Z,2026-09-13T13:00:02.379Z,telemetry,boiler_01,12,5,28.74,148,65,38.74
