2026-09-13T11:46:02.379183444Z {"timestamp": "2026-09-13T11:46:02.378+00:00", "level": "INFO", "component": "publisher", "message": "broker connected", "event": "connected"}
2026-09-13T11:46:02.379605124Z {"timestamp": "2026-09-13T11:46:02.379+00:00", "level": "INFO", "component": "publisher", "message": "publisher started", "event": "started", "asset_id": "boiler_01", "topic": "twin/boiler_01/telemetry", "interval_seconds": 30.0, "qos": 1}
2026-09-13T11:55:32.380765614Z {"timestamp": "2026-09-13T11:55:32.380+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 19, "messages_accepted": 20, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T12:05:32.380608451Z {"timestamp": "2026-09-13T12:05:32.380+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 39, "messages_accepted": 40, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T12:15:32.380804923Z {"timestamp": "2026-09-13T12:15:32.380+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 59, "messages_accepted": 60, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T12:25:32.380324554Z {"timestamp": "2026-09-13T12:25:32.380+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 79, "messages_accepted": 80, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T12:35:32.380580657Z {"timestamp": "2026-09-13T12:35:32.380+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 99, "messages_accepted": 100, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T12:45:32.380615672Z {"timestamp": "2026-09-13T12:45:32.380+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 119, "messages_accepted": 120, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T12:55:32.381711614Z {"timestamp": "2026-09-13T12:55:32.380+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 139, "messages_accepted": 140, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:05:32.380792517Z {"timestamp": "2026-09-13T13:05:32.380+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 159, "messages_accepted": 160, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:15:32.380432215Z {"timestamp": "2026-09-13T13:15:32.380+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 179, "messages_accepted": 180, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:25:32.380416756Z {"timestamp": "2026-09-13T13:25:32.380+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 199, "messages_accepted": 200, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:35:32.380423403Z {"timestamp": "2026-09-13T13:35:32.380+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 219, "messages_accepted": 220, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:45:32.380584333Z {"timestamp": "2026-09-13T13:45:32.380+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 239, "messages_accepted": 240, "messages_deferred": 0, "tick_overruns": 0}
