#group,false,false,true,true,false,true,true,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double,long,double,double
#default,_result,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,asset_id,ambient_temperature_c,power_draw_kw,return_temperature_c,sequence,setpoint_c,supply_temperature_c
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:05:28.872Z,telemetry,boiler_01,12,5,55,120,65,65
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:05:58.872Z,telemetry,boiler_01,12,5,55,121,65,65
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:06:28.872Z,telemetry,boiler_01,12,5,55,122,65,65
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:06:58.872Z,telemetry,boiler_01,12,5,55,123,65,65
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:07:28.872Z,telemetry,boiler_01,12,5,55,124,65,65
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:07:58.872Z,telemetry,boiler_01,12,5,55,125,65,65
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:08:28.872Z,telemetry,boiler_01,12,5,55,126,65,65
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:08:58.872Z,telemetry,boiler_01,12,5,55,127,65,65
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:09:28.872Z,telemetry,boiler_01,12,5,55,128,65,65
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:09:58.872Z,telemetry,boiler_01,12,5,55,129,65,65
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:10:28.872Z,telemetry,boiler_01,12,0,52.95,130,65,62.95
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:10:58.872Z,telemetry,boiler_01,12,0,50.85,131,65,60.85
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:11:28.872Z,telemetry,boiler_01,12,0,48.86,132,65,58.86
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:11:58.872Z,telemetry,boiler_01,12,0,46.97,133,65,56.97
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:12:28.872Z,telemetry,boiler_01,12,0,45.16,134,65,55.16
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:12:58.872Z,telemetry,boiler_01,12,0,43.45,135,65,53.45
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:13:28.872Z,telemetry,boiler_01,12,0,41.82,136,65,51.82
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:13:58.872Z,telemetry,boiler_01,12,0,40.27,137,65,50.27
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:14:28.872Z,telemetry,boiler_01,12,0,38.79,138,65,48.79
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:14:58.872Z,telemetry,boiler_01,12,0,37.39,139,65,47.39
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:15:28.873Z,telemetry,boiler_01,12,0,36.05,140,65,46.05
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:15:58.872Z,telemetry,boiler_01,12,0,34.78,141,65,44.78
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:16:28.872Z,telemetry,boiler_01,12,0,33.57,142,65,43.57
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:16:58.872Z,telemetry,boiler_01,12,0,32.42,143,65,42.42
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:17:28.872Z,telemetry,boiler_01,12,0,31.33,144,65,41.33
,,0,2026-09-13T13:05:28.872Z,2026-09-14T13:05:28.872Z,2026-09-13T13:17:58.872Z,telemetry,boiler_01,12,0,30.29,145,65,40.29
