2026-09-13T12:05:28.872349656Z {"timestamp": "2026-09-13T12:05:28.872+00:00", "level": "INFO", "component": "publisher", "message": "broker connected", "event": "connected"}
2026-09-13T12:05:28.872619026Z {"timestamp": "2026-09-13T12:05:28.872+00:00", "level": "INFO", "component": "publisher", "message": "publisher started", "event": "started", "asset_id": "boiler_01", "topic": "twin/boiler_01/telemetry", "interval_seconds": 30.0, "qos": 1}
2026-09-13T12:14:58.873246149Z {"timestamp": "2026-09-13T12:14:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 19, "messages_accepted": 20, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T12:24:58.873464522Z {"timestamp": "2026-09-13T12:24:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 39, "messages_accepted": 40, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T12:34:58.873286287Z {"timestamp": "2026-09-13T12:34:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 59, "messages_accepted": 60, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T12:44:58.873308391Z {"timestamp": "2026-09-13T12:44:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 79, "messages_accepted": 80, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T12:54:58.873466924Z {"timestamp": "2026-09-13T12:54:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 99, "messages_accepted": 100, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:04:58.873322004Z {"timestamp": "2026-09-13T13:04:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 119, "messages_accepted": 120, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:14:58.873233502Z {"timestamp": "2026-09-13T13:14:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 139, "messages_accepted": 140, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:24:58.873374999Z {"timestamp": "2026-09-13T13:24:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 159, "messages_accepted": 160, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:34:58.873428505Z {"timestamp": "2026-09-13T13:34:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 179, "messages_accepted": 180, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:44:58.873321237Z {"timestamp": "2026-09-13T13:44:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 199, "messages_accepted": 200, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:54:58.873434823Z {"timestamp": "2026-09-13T13:54:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 219, "messages_accepted": 220, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T14:04:58.873398699Z {"timestamp": "2026-09-13T14:04:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 239, "messages_accepted": 240, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T14:14:58.873503097Z {"timestamp": "2026-09-13T14:14:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 259, "messages_accepted": 260, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T14:24:58.873236724Z {"timestamp": "2026-09-13T14:24:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 279, "messages_accepted": 280, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T14:34:58.873284163Z {"timestamp": "2026-09-13T14:34:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 299, "messages_accepted": 300, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T14:44:58.873433261Z {"timestamp": "2026-09-13T14:44:58.872+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 319, "messages_accepted": 320, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T14:54:58.873316228Z {"timestamp": "2026-09-13T14:54:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 339, "messages_accepted": 340, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T15:04:58.873352450Z {"timestamp": "2026-09-13T15:04:58.872+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 359, "messages_accepted": 360, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T15:14:58.873270767Z {"timestamp": "2026-09-13T15:14:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 379, "messages_accepted": 380, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T15:24:58.873274929Z {"timestamp": "2026-09-13T15:24:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 399, "messages_accepted": 400, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T15:34:58.873242269Z {"timestamp": "2026-09-13T15:34:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 419, "messages_accepted": 420, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T15:44:58.873431772Z {"timestamp": "2026-09-13T15:44:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 439, "messages_accepted": 440, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T15:54:58.873203591Z {"timestamp": "2026-09-13T15:54:58.872+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 459, "messages_accepted": 460, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T16:04:58.873270295Z {"timestamp": "2026-09-13T16:04:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 479, "messages_accepted": 480, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T16:14:58.873510551Z {"timestamp": "2026-09-13T16:14:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 499, "messages_accepted": 500, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T16:24:58.873325339Z {"timestamp": "2026-09-13T16:24:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 519, "messages_accepted": 520, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T16:34:58.873177810Z {"timestamp": "2026-09-13T16:34:58.872+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 539, "messages_accepted": 540, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T16:44:58.873451969Z {"timestamp": "2026-09-13T16:44:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 559, "messages_accepted": 560, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T16:54:58.873262204Z {"timestamp": "2026-09-13T16:54:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 579, "messages_accepted": 580, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T17:04:58.873539347Z {"timestamp": "2026-09-13T17:04:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 599, "messages_accepted": 600, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T17:14:58.873276078Z {"timestamp": "2026-09-13T17:14:58.873+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 619, "messages_accepted": 620, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T17:24:58.873433337Z {"timestamp": "2026-09-13T17:24:58.872+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 639, "messages_accepted": 640, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T17:34:58.873237004Z {"timestamp": "2026-09-13T17:34:58.872+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 659, "messages_accepted": 660, "messages_deferred": 0, "tick_overruns": 0}
