2026-09-13T12:41:21.783476778Z {"timestamp": "2026-09-13T12:41:21.782+00:00", "level": "INFO", "component": "publisher", "message": "broker connected", "event": "connected"}
2026-09-13T12:41:21.783701514Z {"timestamp": "2026-09-13T12:41:21.783+00:00", "level": "INFO", "component": "publisher", "message": "publisher started", "event": "started", "asset_id": "boiler_01", "topic": "twin/boiler_01/telemetry", "interval_seconds": 30.0, "qos": 1}
2026-09-13T12:50:51.784408576Z {"timestamp": "2026-09-13T12:50:51.784+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 19, "messages_accepted": 20, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:00:51.785011293Z {"timestamp": "2026-09-13T13:00:51.784+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 39, "messages_accepted": 40, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:10:51.784420467Z {"timestamp": "2026-09-13T13:10:51.784+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 59, "messages_accepted": 60, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:20:51.784549282Z {"timestamp": "2026-09-13T13:20:51.784+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 79, "messages_accepted": 80, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:30:51.784605801Z {"timestamp": "2026-09-13T13:30:51.784+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 99, "messages_accepted": 100, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:40:51.784477596Z {"timestamp": "2026-09-13T13:40:51.784+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 119, "messages_accepted": 120, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T13:50:51.784508174Z {"timestamp": "2026-09-13T13:50:51.784+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 139, "messages_accepted": 140, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T14:00:51.784606178Z {"timestamp": "2026-09-13T14:00:51.784+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 159, "messages_accepted": 160, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T14:10:51.784406927Z {"timestamp": "2026-09-13T14:10:51.784+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 179, "messages_accepted": 180, "messages_deferred": 0, "tick_overruns": 0}
2026-09-13T14:20:51.784554009Z {"timestamp": "2026-09-13T14:20:51.784+00:00", "level": "INFO", "component": "publisher", "message": "publisher progress", "event": "publish_progress", "sequence": 199, "messages_accepted": 200, "messages_deferred": 0, "tick_overruns": 0}
